,roi,side,eccen,subject,preferred_period,sigma
203,1,0,6.5,10,1.1399578579727911,1.1207194238519058
204,1,0,7.5,10,1.2553987481344582,1.425325034030022
205,1,0,8.5,10,1.4602486719583252,1.983553777138392
206,1,0,9.5,10,1.5364888016025653,2.061497887701131
207,1,0,10.5,10,1.7972321854356514,2.6717609118442147
208,1,0,11.5,10,1.9705374502811868,2.9941180732689405
209,1,1,1.5,10,0.536567773965116,0.2182283844677326
210,1,1,2.5,10,0.3644309972703332,0.2752900971880172
211,1,1,3.5,10,0.5619551246638465,0.6800418115449401
212,1,1,4.5,10,0.739185307425297,0.9937145234695796
213,1,1,5.5,10,0.7863739442098174,1.2654010411690582
214,1,1,6.5,10,0.9317335700924408,1.95964691602507
215,1,1,7.5,10,1.1656231645655692,2.227223848452384
216,1,1,8.5,10,1.3453089252883772,2.379861190353976
217,1,1,9.5,10,1.5806192203736364,2.804406624616578
218,1,1,10.5,10,1.8520741727136427,2.725748472280946
219,1,1,11.5,10,2.0464031124749837,2.1285301423752245
220,1,0,1.5,11,0.7109010714914488,0.3501069835123349
221,1,0,2.5,11,0.9107603915777792,0.7282125153751285
222,1,0,3.5,11,0.6893194540768603,0.6170811177053176
223,1,0,4.5,11,0.8078024608629727,1.2492690130020492
224,1,0,5.5,11,1.0431278773705055,1.8052967880354367
225,1,0,6.5,11,1.1814927753901847,1.885317608241051
226,1,0,7.5,11,1.3323742303383013,1.6907047205501131
227,1,0,8.5,11,1.501607289181074,1.3567270994843803
228,1,0,9.5,11,1.5220808478326768,1.5744661162533458
229,1,0,10.5,11,1.5242388935736595,1.911428038432048
230,1,0,11.5,11,1.6884981377597494,1.593305373492167
231,1,1,1.5,11,0.5065088969307593,1.2254652961963366
232,1,1,2.5,11,0.5078076896813565,1.24038585792642
233,1,1,3.5,11,0.5731922380938866,1.1108733278552825
234,1,1,4.5,11,0.7887777408584935,1.3648155861499398
235,1,1,5.5,11,1.040625185808007,1.396205011093728
236,1,1,6.5,11,1.286786184487244,1.6853057868205583
237,1,1,7.5,11,1.5404880871334703,1.951787863663811
238,1,1,8.5,11,1.6313311216614816,2.272422729610647
239,1,1,9.5,11,1.60039482841463,2.70351721594731
240,1,1,10.5,11,1.6223774365545598,2.73874113259726
241,1,1,11.5,11,1.5296890015322555,1.3577019491628424
242,1,0,1.5,12,0.7635607497487514,1.192117142258212
243,1,0,2.5,12,0.5595406202878023,1.359729430002302
244,1,0,3.5,12,0.240260650179905,1.7418324998275718
245,1,0,4.5,12,0.2678517163812018,2.1567583371040437
246,1,0,5.5,12,0.3068312037948459,2.667780591119634
247,1,0,6.5,12,0.344080806952661,3.194756332935625
248,1,0,7.5,12,0.5431691703625744,3.431676557645051
249,1,0,8.5,12,0.5228225027801583,3.376557009477241
250,1,0,9.5,12,0.5125251234623188,3.3843311105628278
251,1,0,10.5,12,0.2119254295740247,3.565697265596225
252,1,0,11.5,12,0.2729386241583461,4.085082979084135
253,1,1,1.5,12,0.7096028272203831,0.4986552205823716
254,1,1,2.5,12,0.0735634798132145,0.903362099343055
255,1,1,3.5,12,0.0004882904736477,1.4348112172173226
256,1,1,4.5,12,0.0621126836108557,1.834770471752969
257,1,1,5.5,12,0.2195242492691082,2.083878110476902
258,1,1,6.5,12,0.5537890800734067,2.846831376535179
259,1,1,7.5,12,0.5952150154817449,3.901151142013607
260,1,1,8.5,12,0.4243872653843487,3.806478273123503
261,1,1,9.5,12,0.2885222353775837,3.5765578661316124
262,1,1,10.5,12,1.20991047692592,3.228923758272739
263,1,1,11.5,12,0.3777009259443817,2.473234908088394
264,2,0,1.5,1,0.5230650093320539,0.6602224457052956
265,2,0,2.5,1,0.8087476190760046,1.2038260485683934
266,2,0,3.5,1,0.6269150921524967,1.3284393737642028
267,2,0,4.5,1,0.7872464640937512,1.7892137732917228
268,2,0,5.5,1,0.8683493073091281,2.5807551979049435
269,2,0,6.5,1,1.401409543918375,3.3184725658313647
270,2,0,7.5,1,1.4113173381413506,3.078984315136829
271,2,0,8.5,1,1.925415685852014,3.3476017673363847
272,2,0,9.5,1,2.7301764235359545,3.0401911057838023
273,2,0,10.5,1,2.5774984759091497,2.7456344295595145
274,2,0,11.5,1,3.489583203266585,1.8771945248607176
275,2,1,1.5,1,0.527332357892221,0.5562211111067764
276,2,1,2.5,1,0.4239395179465094,1.6796441210572384
277,2,1,3.5,1,0.3952162947908327,2.141412226959716
278,2,1,4.5,1,0.6801132690920435,2.483256793022156
279,2,1,5.5,1,1.3537564265673938,3.130457185208797
280,2,1,6.5,1,1.9437522658010773,3.0728102320874178
281,2,1,7.5,1,1.908313770944489,2.389527921702551
282,2,1,8.5,1,1.4375761615927125,1.685184142059263
283,2,1,9.5,1,1.8938622191821064,1.5143120490635436
284,2,1,10.5,1,1.9371564803977237,1.6152021873580371
285,2,1,11.5,1,3.3696806185314863,1.6583977507427334
286,2,0,1.5,2,0.6576420695359222,1.6879576485265384
287,2,0,2.5,2,0.9226936379955988,1.89319642384847
288,2,0,3.5,2,1.1895025352407278,2.70842150747776
289,2,0,4.5,2,1.5122071663199723,3.860924945054231
290,2,0,5.5,2,2.4771168637679013,4.221609412170038
291,2,0,6.5,2,3.232717518677624,4.008424204938552
292,2,0,7.5,2,3.227491462789404,4.118165271622794
293,2,0,8.5,2,3.085351723429582,4.384455058309767
294,2,0,9.5,2,3.2977735840755584,3.863772812651263
295,2,0,10.5,2,4.2264332517767125,2.8486161336980085
296,2,0,11.5,2,5.160850239451078,2.697278526157905
297,2,1,1.5,2,0.8993128215102453,2.47438232681968
298,2,1,2.5,2,1.5415903888703482,2.548802169693841
299,2,1,3.5,2,1.0950069168009442,2.7187097701558307
300,2,1,4.5,2,1.3724993774401697,3.2463765398661297
301,2,1,5.5,2,1.9344825989952168,3.779188598228606
302,2,1,6.5,2,2.7769820814606136,4.366698391735554
303,2,1,7.5,2,3.824593941432444,4.651656661714826
304,2,1,8.5,2,5.884259857866883,4.732212366201939
305,2,1,9.5,2,6.547711965652835,3.8935302615557847
306,2,1,10.5,2,17.46021890490848,3.4493997913918326
307,2,1,11.5,2,24.264277275335928,2.6237963346971407
308,2,0,1.5,3,0.4474904376411035,1.649002509914777
309,2,0,2.5,3,0.3868231326389503,1.9198397626037056
310,2,0,3.5,3,0.574579275572265,1.8631889959411507
311,2,0,4.5,3,0.4006218350439864,2.4575966014206863
312,2,0,5.5,3,0.4322249780932056,2.899840143371801
313,2,0,6.5,3,0.6132674591288739,2.667307780917026
314,2,0,7.5,3,0.6186284798765312,2.652654546088186
315,2,0,8.5,3,31.999999999999723,2.3561427878106342
316,2,0,9.5,3,1.5344563287195665,1.7254985330752957
317,2,0,10.5,3,2.2951905288986065,1.3847909678695025
